Age,Indicator,County,Value
ADULTS (15-49),Incidence (per 1000),Taita Taveta,1.7
ADULTS (15-49),Incidence (per 1000),Tana River,0.5
ADULTS (15-49),Incidence (per 1000),Garissa,0
ADULTS (15-49),Incidence (per 1000),Mandera,0
ADULTS (15-49),Incidence (per 1000),Wajir,0
ADULTS (15-49),Incidence (per 1000),Embu,1.1
ADULTS (15-49),Incidence (per 1000),Marsabit,0.5
ADULTS (15-49),Incidence (per 1000),Meru,0.9
ADULTS (15-49),Incidence (per 1000),Isiolo,1.3
ADULTS (15-49),Incidence (per 1000),Makueni,1.6
ADULTS (15-49),Incidence (per 1000),Kitui,1.7
ADULTS (15-49),Incidence (per 1000),Machakos,1.4
ADULTS (15-49),Incidence (per 1000),Tharaka Nithi,1.2
ADULTS (15-49),Incidence (per 1000),Nyeri,1.8
ADULTS (15-49),Incidence (per 1000),Nyandarua,1.8
ADULTS (15-49),Incidence (per 1000),Kiambu,2.2
ADULTS (15-49),Incidence (per 1000),Murang’a,2
ADULTS (15-49),Incidence (per 1000),Kirinyaga,1.6
ADULTS (15-49),Incidence (per 1000),West Pokot,0.3
ADULTS (15-49),Incidence (per 1000),Turkana,0.7
ADULTS (15-49),Incidence (per 1000),Trans Nzoia,0.9
ADULTS (15-49),Incidence (per 1000),Narok,0.6
ADULTS (15-49),Incidence (per 1000),Nandi,0.4
ADULTS (15-49),Incidence (per 1000),Nakuru,0.7
ADULTS (15-49),Incidence (per 1000),Elgeyo Marakwet,0.3
ADULTS (15-49),Incidence (per 1000),Laikipia,0.5
ADULTS (15-49),Incidence (per 1000),Kericho,0.6
ADULTS (15-49),Incidence (per 1000),Kajiado,0.8
ADULTS (15-49),Incidence (per 1000),Bomet,0.4
ADULTS (15-49),Incidence (per 1000),Baringo,0.3
ADULTS (15-49),Incidence (per 1000),Samburu,0.4
ADULTS (15-49),Incidence (per 1000),Uasin Gishu,0.8
ADULTS (15-49),Incidence (per 1000),Bungoma,1.3
ADULTS (15-49),Incidence (per 1000),Kakamega,1.8
ADULTS (15-49),Incidence (per 1000),Busia,3.1
ADULTS (15-49),Incidence (per 1000),Vihiga,2
ADULTS (15-49),Incidence (per 1000),Siaya,7.7
ADULTS (15-49),Incidence (per 1000),Kisii,1.5
ADULTS (15-49),Incidence (per 1000),Migori,5
ADULTS (15-49),Incidence (per 1000),Kisumu,6.3
ADULTS (15-49),Incidence (per 1000),Homa Bay,8.2
ADULTS (15-49),Incidence (per 1000),Nyamira,1.4
ADULTS (15+),HIV+,Kenya,1388169
ADULTS (15+),HIV+,Nairobi,182856
ADULTS (15+),HIV+,Mombasa,38548
ADULTS (15+),HIV+,Kwale,17877
ADULTS (15+),HIV+,Kilifi,30597
ADULTS (15+),HIV+,Lamu,2445
ADULTS (15+),HIV+,Taita Taveta,9462
ADULTS (15+),HIV+,Tana River,2071
ADULTS (15+),HIV+,Garissa,2356
ADULTS (15+),HIV+,Mandera,805
ADULTS (15+),HIV+,Wajir,262
ADULTS (15+),HIV+,Embu,9866
ADULTS (15+),HIV+,Marsabit,2372
ADULTS (15+),HIV+,Meru,22090
ADULTS (15+),HIV+,Isiolo,2889
ADULTS (15+),HIV+,Makueni,22621
ADULTS (15+),HIV+,Kitui,26375
ADULTS (15+),HIV+,Machakos,27695
ADULTS (15+),HIV+,Tharaka Nithi,7779
ADULTS (15+),HIV+,Nyeri,20559
ADULTS (15+),HIV+,Nyandarua,15355
ADULTS (15+),HIV+,Kiambu,56622
ADULTS (15+),HIV+,Murang’a,29144
ADULTS (15+),HIV+,Kirinyaga,13893
ADULTS (15+),HIV+,West Pokot,5524
ADULTS (15+),HIV+,Turkana,21343
ADULTS (15+),HIV+,Trans Nzoia,26610
ADULTS (15+),HIV+,Narok,16810
ADULTS (15+),HIV+,Nandi,11712
ADULTS (15+),HIV+,Nakuru,45549
ADULTS (15+),HIV+,Elgeyo Marakwet,4400
ADULTS (15+),HIV+,Laikipia,8530
ADULTS (15+),HIV+,Kericho,16111
ADULTS (15+),HIV+,Kajiado,22850
ADULTS (15+),HIV+,Bomet,9761
ADULTS (15+),HIV+,Baringo,5397
ADULTS (15+),HIV+,Samburu,2820
ADULTS (15+),HIV+,Uasin Gishu,29640
ADULTS (15+),HIV+,Bungoma,27648
ADULTS (15+),HIV+,Kakamega,48752
ADULTS (15+),HIV+,Busia,35527
ADULTS (15+),HIV+,Vihiga,18346
ADULTS (15+),HIV+,Siaya,113605
ADULTS (15+),HIV+,Kisii,34950
ADULTS (15+),HIV+,Migori,79146
ADULTS (15+),HIV+,Kisumu,112862
ADULTS (15+),HIV+,Homa Bay,128199
ADULTS (15+),HIV+,Nyamira,17537
ADULTS (15+),New Infections,Kenya,44789
ADULTS (15+),New Infections,Nairobi,6499
ADULTS (15+),New Infections,Mombasa,1490
ADULTS (15+),New Infections,Kwale,691
ADULTS (15+),New Infections,Kilifi,1183
ADULTS (15+),New Infections,Lamu,95
ADULTS (15+),New Infections,Taita Taveta,366
ADULTS (15+),New Infections,Tana River,80
ADULTS (15+),New Infections,Garissa,0
ADULTS (15+),New Infections,Mandera,0
ADULTS (15+),New Infections,Wajir,0
ADULTS (15+),New Infections,Embu,363
ADULTS (15+),New Infections,Marsabit,87
ADULTS (15+),New Infections,Meru,813
ADULTS (15+),New Infections,Isiolo,106
ADULTS (15+),New Infections,Makueni,832
ADULTS (15+),New Infections,Kitui,970
ADULTS (15+),New Infections,Machakos,1019
ADULTS (15+),New Infections,Tharaka Nithi,286
ADULTS (15+),New Infections,Nyeri,952
ADULTS (15+),New Infections,Nyandarua,711
ADULTS (15+),New Infections,Kiambu,2623
ADULTS (15+),New Infections,Murang’a,1350
ADULTS (15+),New Infections,Kirinyaga,644
ADULTS (15+),New Infections,West Pokot,104
ADULTS (15+),New Infections,Turkana,403
ADULTS (15+),New Infections,Trans Nzoia,503
ADULTS (15+),New Infections,Narok,317
ADULTS (15+),New Infections,Nandi,221
ADULTS (15+),New Infections,Nakuru,860
ADULTS (15+),New Infections,Elgeyo Marakwet,83
ADULTS (15+),New Infections,Laikipia,161
ADULTS (15+),New Infections,Kericho,304
ADULTS (15+),New Infections,Kajiado,432
ADULTS (15+),New Infections,Bomet,184
ADULTS (15+),New Infections,Baringo,102
ADULTS (15+),New Infections,Samburu,53
ADULTS (15+),New Infections,Uasin Gishu,560
ADULTS (15+),New Infections,Bungoma,999
ADULTS (15+),New Infections,Kakamega,1761
ADULTS (15+),New Infections,Busia,1283
ADULTS (15+),New Infections,Vihiga,663
ADULTS (15+),New Infections,Siaya,3419
ADULTS (15+),New Infections,Kisii,1052
ADULTS (15+),New Infections,Migori,2382
ADULTS (15+),New Infections,Kisumu,3396
ADULTS (15+),New Infections,Homa Bay,3858
ADULTS (15+),New Infections,Nyamira,528
ADULTS (15+),HIV-related Deaths,Kenya,23902
ADULTS (15+),HIV-related Deaths,Nairobi,2232
ADULTS (15+),HIV-related Deaths,Mombasa,654
ADULTS (15+),HIV-related Deaths,Kwale,303
ADULTS (15+),HIV-related Deaths,Kilifi,519
ADULTS (15+),HIV-related Deaths,Lamu,41
ADULTS (15+),HIV-related Deaths,Taita Taveta,160
ADULTS (15+),HIV-related Deaths,Tana River,35
ADULTS (15+),HIV-related Deaths,Garissa,144
ADULTS (15+),HIV-related Deaths,Mandera,49
ADULTS (15+),HIV-related Deaths,Wajir,16
ADULTS (15+),HIV-related Deaths,Embu,193
ADULTS (15+),HIV-related Deaths,Marsabit,46
ADULTS (15+),HIV-related Deaths,Meru,432
ADULTS (15+),HIV-related Deaths,Isiolo,57
ADULTS (15+),HIV-related Deaths,Makueni,443
ADULTS (15+),HIV-related Deaths,Kitui,516
ADULTS (15+),HIV-related Deaths,Machakos,542
ADULTS (15+),HIV-related Deaths,Tharaka Nithi,152
ADULTS (15+),HIV-related Deaths,Nyeri,398
ADULTS (15+),HIV-related Deaths,Nyandarua,297
ADULTS (15+),HIV-related Deaths,Kiambu,1096
ADULTS (15+),HIV-related Deaths,Murang’a,564
ADULTS (15+),HIV-related Deaths,Kirinyaga,269
ADULTS (15+),HIV-related Deaths,West Pokot,131
ADULTS (15+),HIV-related Deaths,Turkana,506
ADULTS (15+),HIV-related Deaths,Trans Nzoia,631
ADULTS (15+),HIV-related Deaths,Narok,399
ADULTS (15+),HIV-related Deaths,Nandi,278
ADULTS (15+),HIV-related Deaths,Nakuru,1081
ADULTS (15+),HIV-related Deaths,Elgeyo Marakwet,104
ADULTS (15+),HIV-related Deaths,Laikipia,202
ADULTS (15+),HIV-related Deaths,Kericho,382
ADULTS (15+),HIV-related Deaths,Kajiado,542
ADULTS (15+),HIV-related Deaths,Bomet,232
ADULTS (15+),HIV-related Deaths,Baringo,128
ADULTS (15+),HIV-related Deaths,Samburu,67
ADULTS (15+),HIV-related Deaths,Uasin Gishu,703
ADULTS (15+),HIV-related Deaths,Bungoma,450
ADULTS (15+),HIV-related Deaths,Kakamega,794
ADULTS (15+),HIV-related Deaths,Busia,578
ADULTS (15+),HIV-related Deaths,Vihiga,299
ADULTS (15+),HIV-related Deaths,Siaya,1690
ADULTS (15+),HIV-related Deaths,Kisii,520
ADULTS (15+),HIV-related Deaths,Migori,1177
ADULTS (15+),HIV-related Deaths,Kisumu,1679
ADULTS (15+),HIV-related Deaths,Homa Bay,1907
ADULTS (15+),HIV-related Deaths,Nyamira,261
CHILDREN (0-14),HIV+,Kenya,105213
CHILDREN (0-14),HIV+,Nairobi,8137
CHILDREN (0-14),HIV+,Mombasa,3051
CHILDREN (0-14),HIV+,Kwale,1415
CHILDREN (0-14),HIV+,Kilifi,2422
CHILDREN (0-14),HIV+,Lamu,194
CHILDREN (0-14),HIV+,Taita Taveta,749
CHILDREN (0-14),HIV+,Tana River,164
CHILDREN (0-14),HIV+,Garissa,532
CHILDREN (0-14),HIV+,Mandera,182
CHILDREN (0-14),HIV+,Wajir,59
CHILDREN (0-14),HIV+,Embu,855
CHILDREN (0-14),HIV+,Marsabit,206
CHILDREN (0-14),HIV+,Meru,1914
CHILDREN (0-14),HIV+,Isiolo,250
CHILDREN (0-14),HIV+,Makueni,1960
CHILDREN (0-14),HIV+,Kitui,2286
CHILDREN (0-14),HIV+,Machakos,2400
CHILDREN (0-14),HIV+,Tharaka Nithi,674
CHILDREN (0-14),HIV+,Nyeri,869
CHILDREN (0-14),HIV+,Nyandarua,649
CHILDREN (0-14),HIV+,Kiambu,2394
CHILDREN (0-14),HIV+,Murang’a,1232
CHILDREN (0-14),HIV+,Kirinyaga,588
CHILDREN (0-14),HIV+,West Pokot,488
CHILDREN (0-14),HIV+,Turkana,1887
CHILDREN (0-14),HIV+,Trans Nzoia,2352
CHILDREN (0-14),HIV+,Narok,1486
CHILDREN (0-14),HIV+,Nandi,1035
CHILDREN (0-14),HIV+,Nakuru,4026
CHILDREN (0-14),HIV+,Elgeyo Marakwet,389
CHILDREN (0-14),HIV+,Laikipia,754
CHILDREN (0-14),HIV+,Kericho,1424
CHILDREN (0-14),HIV+,Kajiado,2020
CHILDREN (0-14),HIV+,Bomet,863
CHILDREN (0-14),HIV+,Baringo,477
CHILDREN (0-14),HIV+,Samburu,249
CHILDREN (0-14),HIV+,Uasin Gishu,2620
CHILDREN (0-14),HIV+,Bungoma,2396
CHILDREN (0-14),HIV+,Kakamega,4224
CHILDREN (0-14),HIV+,Busia,3078
CHILDREN (0-14),HIV+,Vihiga,1590
CHILDREN (0-14),HIV+,Siaya,9501
CHILDREN (0-14),HIV+,Kisii,2923
CHILDREN (0-14),HIV+,Migori,6619
CHILDREN (0-14),HIV+,Kisumu,9439
CHILDREN (0-14),HIV+,Homa Bay,10722
CHILDREN (0-14),HIV+,Nyamira,1467
CHILDREN (0-14),New Infections,Kenya,7978
CHILDREN (0-14),New Infections,Nairobi,660
CHILDREN (0-14),New Infections,Mombasa,248
CHILDREN (0-14),New Infections,Kwale,115
CHILDREN (0-14),New Infections,Kilifi,197
CHILDREN (0-14),New Infections,Lamu,16
CHILDREN (0-14),New Infections,Taita Taveta,61
CHILDREN (0-14),New Infections,Tana River,13
CHILDREN (0-14),New Infections,Garissa,55
CHILDREN (0-14),New Infections,Mandera,19
CHILDREN (0-14),New Infections,Wajir,6
CHILDREN (0-14),New Infections,Embu,66
CHILDREN (0-14),New Infections,Marsabit,16
CHILDREN (0-14),New Infections,Meru,147
CHILDREN (0-14),New Infections,Isiolo,19
CHILDREN (0-14),New Infections,Makueni,151
CHILDREN (0-14),New Infections,Kitui,176
CHILDREN (0-14),New Infections,Machakos,185
CHILDREN (0-14),New Infections,Tharaka Nithi,52
CHILDREN (0-14),New Infections,Nyeri,51
CHILDREN (0-14),New Infections,Nyandarua,38
CHILDREN (0-14),New Infections,Kiambu,139
CHILDREN (0-14),New Infections,Murang’a,72
CHILDREN (0-14),New Infections,Kirinyaga,34
CHILDREN (0-14),New Infections,West Pokot,39
CHILDREN (0-14),New Infections,Turkana,152
CHILDREN (0-14),New Infections,Trans Nzoia,190
CHILDREN (0-14),New Infections,Narok,120
CHILDREN (0-14),New Infections,Nandi,84
CHILDREN (0-14),New Infections,Nakuru,325
CHILDREN (0-14),New Infections,Elgeyo Marakwet,31
CHILDREN (0-14),New Infections,Laikipia,61
CHILDREN (0-14),New Infections,Kericho,115
CHILDREN (0-14),New Infections,Kajiado,163
CHILDREN (0-14),New Infections,Bomet,70
CHILDREN (0-14),New Infections,Baringo,39
CHILDREN (0-14),New Infections,Samburu,20
CHILDREN (0-14),New Infections,Uasin Gishu,212
CHILDREN (0-14),New Infections,Bungoma,248
CHILDREN (0-14),New Infections,Kakamega,437
CHILDREN (0-14),New Infections,Busia,318
CHILDREN (0-14),New Infections,Vihiga,164
CHILDREN (0-14),New Infections,Siaya,620
CHILDREN (0-14),New Infections,Kisii,191
CHILDREN (0-14),New Infections,Migori,432
CHILDREN (0-14),New Infections,Kisumu,616
CHILDREN (0-14),New Infections,Homa Bay,700
CHILDREN (0-14),New Infections,Nyamira,96
CHILDREN (0-14),HIV-related Deaths,Kenya,4312
CHILDREN (0-14),HIV-related Deaths,Nairobi,380
CHILDREN (0-14),HIV-related Deaths,Mombasa,124
CHILDREN (0-14),HIV-related Deaths,Kwale,57
CHILDREN (0-14),HIV-related Deaths,Kilifi,98
CHILDREN (0-14),HIV-related Deaths,Lamu,8
CHILDREN (0-14),HIV-related Deaths,Taita Taveta,30
CHILDREN (0-14),HIV-related Deaths,Tana River,7
CHILDREN (0-14),HIV-related Deaths,Garissa,50
CHILDREN (0-14),HIV-related Deaths,Mandera,17
CHILDREN (0-14),HIV-related Deaths,Wajir,6
CHILDREN (0-14),HIV-related Deaths,Embu,31
CHILDREN (0-14),HIV-related Deaths,Marsabit,8
CHILDREN (0-14),HIV-related Deaths,Meru,70
CHILDREN (0-14),HIV-related Deaths,Isiolo,9
CHILDREN (0-14),HIV-related Deaths,Makueni,72
CHILDREN (0-14),HIV-related Deaths,Kitui,84
CHILDREN (0-14),HIV-related Deaths,Machakos,88
CHILDREN (0-14),HIV-related Deaths,Tharaka Nithi,25
CHILDREN (0-14),HIV-related Deaths,Nyeri,26
CHILDREN (0-14),HIV-related Deaths,Nyandarua,19
CHILDREN (0-14),HIV-related Deaths,Kiambu,71
CHILDREN (0-14),HIV-related Deaths,Murang’a,36
CHILDREN (0-14),HIV-related Deaths,Kirinyaga,17
CHILDREN (0-14),HIV-related Deaths,West Pokot,21
CHILDREN (0-14),HIV-related Deaths,Turkana,81
CHILDREN (0-14),HIV-related Deaths,Trans Nzoia,101
CHILDREN (0-14),HIV-related Deaths,Narok,64
CHILDREN (0-14),HIV-related Deaths,Nandi,45
CHILDREN (0-14),HIV-related Deaths,Nakuru,174
CHILDREN (0-14),HIV-related Deaths,Elgeyo Marakwet,17
CHILDREN (0-14),HIV-related Deaths,Laikipia,33
CHILDREN (0-14),HIV-related Deaths,Kericho,61
CHILDREN (0-14),HIV-related Deaths,Kajiado,87
CHILDREN (0-14),HIV-related Deaths,Bomet,37
CHILDREN (0-14),HIV-related Deaths,Baringo,21
CHILDREN (0-14),HIV-related Deaths,Samburu,11
CHILDREN (0-14),HIV-related Deaths,Uasin Gishu,113
CHILDREN (0-14),HIV-related Deaths,Bungoma,111
CHILDREN (0-14),HIV-related Deaths,Kakamega,195
CHILDREN (0-14),HIV-related Deaths,Busia,142
CHILDREN (0-14),HIV-related Deaths,Vihiga,73
CHILDREN (0-14),HIV-related Deaths,Siaya,372
CHILDREN (0-14),HIV-related Deaths,Kisii,114
CHILDREN (0-14),HIV-related Deaths,Migori,259
CHILDREN (0-14),HIV-related Deaths,Kisumu,369
CHILDREN (0-14),HIV-related Deaths,Homa Bay,420
CHILDREN (0-14),HIV-related Deaths,Nyamira,57
TOTAL,HIV+,Kenya,1493382
TOTAL,HIV+,Nairobi,190993
TOTAL,HIV+,Mombasa,41599
TOTAL,HIV+,Kwale,19292
TOTAL,HIV+,Kilifi,33019
TOTAL,HIV+,Lamu,2638
TOTAL,HIV+,Taita Taveta,10211
TOTAL,HIV+,Tana River,2235
TOTAL,HIV+,Garissa,2888
TOTAL,HIV+,Mandera,987
TOTAL,HIV+,Wajir,321
TOTAL,HIV+,Embu,10721
TOTAL,HIV+,Marsabit,2577
TOTAL,HIV+,Meru,24005
TOTAL,HIV+,Isiolo,3139
TOTAL,HIV+,Makueni,24581
TOTAL,HIV+,Kitui,28661
TOTAL,HIV+,Machakos,30095
TOTAL,HIV+,Tharaka Nithi,8453
TOTAL,HIV+,Nyeri,21428
TOTAL,HIV+,Nyandarua,16005
TOTAL,HIV+,Kiambu,59016
TOTAL,HIV+,Murang’a,30376
TOTAL,HIV+,Kirinyaga,14481
TOTAL,HIV+,West Pokot,6012
TOTAL,HIV+,Turkana,23230
TOTAL,HIV+,Trans Nzoia,28962
TOTAL,HIV+,Narok,18296
TOTAL,HIV+,Nandi,12748
TOTAL,HIV+,Nakuru,49575
TOTAL,HIV+,Elgeyo Marakwet,4789
TOTAL,HIV+,Laikipia,9284
TOTAL,HIV+,Kericho,17535
TOTAL,HIV+,Kajiado,24869
TOTAL,HIV+,Bomet,10624
TOTAL,HIV+,Baringo,5874
TOTAL,HIV+,Samburu,3069
TOTAL,HIV+,Uasin Gishu,32260
TOTAL,HIV+,Bungoma,30044
TOTAL,HIV+,Kakamega,52976
TOTAL,HIV+,Busia,38606
TOTAL,HIV+,Vihiga,19935
TOTAL,HIV+,Siaya,123107
TOTAL,HIV+,Kisii,37874
TOTAL,HIV+,Migori,85765
TOTAL,HIV+,Kisumu,122301
TOTAL,HIV+,Homa Bay,138921
TOTAL,HIV+,Nyamira,19004
TOTAL,New Infections,Kenya,52767
TOTAL,New Infections,Nairobi,7159
TOTAL,New Infections,Mombasa,1738
TOTAL,New Infections,Kwale,806
TOTAL,New Infections,Kilifi,1380
TOTAL,New Infections,Lamu,110
TOTAL,New Infections,Taita Taveta,427
TOTAL,New Infections,Tana River,93
TOTAL,New Infections,Garissa,55
TOTAL,New Infections,Mandera,19
TOTAL,New Infections,Wajir,6
TOTAL,New Infections,Embu,429
TOTAL,New Infections,Marsabit,103
TOTAL,New Infections,Meru,960
TOTAL,New Infections,Isiolo,126
TOTAL,New Infections,Makueni,983
TOTAL,New Infections,Kitui,1146
TOTAL,New Infections,Machakos,1203
TOTAL,New Infections,Tharaka Nithi,338
